customer_id,last_purchase_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,customer_segment
70,2023-12-04,1,153.41,298,2,1,2,212,Low Engagement
71,2023-09-27,3,353.75,366,2,3,3,233,At Risk
72,2022-11-03,2,147.19,694,1,1,2,112,Low Engagement
73,2024-09-18,3,221.26999999999998,9,4,3,2,432,Loyal Customers
74,2022-12-30,2,533.55,637,1,1,4,114,High Value At Risk
75,2023-09-28,6,941.69,365,2,4,4,244,At Risk
76,2024-01-07,4,382.71,264,2,3,3,233,At Risk
77,2023-09-28,3,824.1899999999999,365,2,3,4,234,At Risk
78,2024-08-16,3,207.42,42,4,3,2,432,Loyal Customers
79,2024-05-26,2,586.61,124,3,1,4,314,Potential Loyalists
80,2024-09-15,2,191.32999999999998,12,4,1,2,412,Developing Customers
81,2024-09-26,2,116.78999999999999,1,4,1,1,411,Developing Customers
82,2023-10-31,3,438.93,332,2,3,3,233,At Risk
83,2023-08-31,2,345.14,393,2,1,3,213,High Value At Risk
84,2022-07-25,1,93.87,795,1,1,1,111,Low Engagement
85,2022-12-24,2,79.62,643,1,1,1,111,Low Engagement
86,2024-06-23,2,154.72,96,4,1,2,412,Developing Customers
87,2024-06-24,7,791.3,95,4,4,4,444,Champions
88,2024-09-13,3,472.26,14,4,3,4,434,Champions
89,2023-07-26,1,155.92,429,2,1,2,212,Low Engagement
90,2023-01-16,3,114.47999999999999,620,1,3,1,131,At Risk
93,2024-08-20,8,677.98,38,4,4,4,444,Champions
94,2023-08-15,1,378.89,409,2,1,3,213,High Value At Risk
95,2022-10-07,1,1.74,721,1,1,1,111,Low Engagement
96,2022-06-09,2,130.07,841,1,1,2,112,Low Engagement
97,2023-02-22,1,63.95,583,1,1,1,111,Low Engagement
98,2024-08-28,5,312.4,30,4,4,3,443,Champions
99,2024-07-03,4,562.9,86,4,3,4,434,Champions
100,2024-04-10,3,375.87,170,3,3,3,333,Champions
101,2023-01-21,2,252.85,615,1,1,2,112,Low Engagement
102,2023-02-17,1,95.83,588,1,1,1,111,Low Engagement
103,2024-09-14,6,745.25,13,4,4,4,444,Champions
104,2024-09-04,4,93.57,23,4,3,1,431,Loyal Customers
105,2022-09-26,2,70.02,732,1,1,1,111,Low Engagement
107,2023-04-09,2,432.44,537,1,1,3,113,High Value At Risk
108,2022-12-04,2,213.89,663,1,1,2,112,Low Engagement
110,2022-11-16,4,415.82,681,1,3,3,133,At Risk
112,2023-10-11,2,216.36,352,2,1,2,212,Low Engagement
113,2022-05-05,1,67.34,876,1,1,1,111,Low Engagement
114,2024-05-25,3,384.61,125,3,3,3,333,Champions
115,2024-05-20,3,126.08000000000001,130,3,3,1,331,Loyal Customers
116,2024-03-12,3,459.09000000000003,199,3,3,3,333,Champions
117,2024-06-23,1,340.54,96,4,1,3,413,Potential Loyalists
118,2023-02-01,4,246.51000000000002,604,1,3,2,132,At Risk
119,2023-02-05,2,655.27,600,1,1,4,114,High Value At Risk
120,2022-11-12,2,297.66999999999996,685,1,1,3,113,High Value At Risk
121,2024-08-10,3,262.8,48,4,3,2,432,Loyal Customers
122,2023-03-05,1,15.04,572,1,1,1,111,Low Engagement
123,2023-01-27,1,23.98,609,1,1,1,111,Low Engagement
125,2023-07-19,2,111.35,436,2,1,1,211,Low Engagement
126,2024-04-16,3,574.76,164,3,3,4,334,Champions
127,2024-01-09,4,1002.25,262,2,3,4,234,At Risk
130,2023-08-07,2,281.08,417,2,1,3,213,High Value At Risk
131,2024-02-17,2,217.93,223,3,1,2,312,Developing Customers
132,2023-09-03,1,139.97,390,2,1,2,212,Low Engagement
133,2024-04-10,1,20.28,170,3,1,1,311,Developing Customers
134,2023-12-15,2,221.92000000000002,287,2,1,2,212,Low Engagement
135,2022-08-23,3,771.25,766,1,3,4,134,At Risk
136,2022-08-17,2,685.97,772,1,1,4,114,High Value At Risk
137,2024-02-20,1,10.21,220,3,1,1,311,Developing Customers
138,2023-10-31,3,290.87,332,2,3,3,233,At Risk
139,2023-12-24,2,568.25,278,2,1,4,214,High Value At Risk
140,2023-05-14,2,438.24,502,1,1,3,113,High Value At Risk
141,2024-02-18,4,576.39,222,3,3,4,334,Champions
142,2023-07-16,2,207.55,439,2,1,2,212,Low Engagement
143,2023-02-15,3,439.36,590,1,3,3,133,At Risk
144,2023-04-27,2,77.87,519,1,1,1,111,Low Engagement
145,2023-12-01,3,420.39,301,2,3,3,233,At Risk
146,2023-07-19,3,466.58000000000004,436,2,3,4,234,At Risk
147,2023-08-26,1,173.8,398,2,1,2,212,Low Engagement
148,2024-07-19,2,76.38,70,4,1,1,411,Developing Customers
149,2024-09-04,5,766.51,23,4,4,4,444,Champions
150,2023-12-21,1,27.34,281,2,1,1,211,Low Engagement
151,2023-02-05,5,483.71000000000004,600,1,4,4,144,At Risk
152,2023-04-23,1,3.04,523,1,1,1,111,Low Engagement
153,2024-08-25,4,921.0699999999999,33,4,3,4,434,Champions
155,2023-03-24,4,432.72999999999996,553,1,3,3,133,At Risk
156,2023-09-24,4,330.25,369,2,3,3,233,At Risk
157,2023-12-16,2,94.66,286,2,1,1,211,Low Engagement
158,2024-02-04,4,247.59,236,3,3,2,332,Loyal Customers
159,2024-07-05,2,116.52,84,4,1,1,411,Developing Customers
160,2024-04-30,4,376.73,150,3,3,3,333,Champions
161,2024-07-31,5,1015.75,58,4,4,4,444,Champions
162,2024-03-13,2,210.62,198,3,1,2,312,Developing Customers
163,2022-06-25,1,18.81,825,1,1,1,111,Low Engagement
164,2024-09-20,6,912.15,7,4,4,4,444,Champions
165,2023-08-26,6,460.39,398,2,4,3,243,At Risk
166,2024-03-11,3,340.90000000000003,200,3,3,3,333,Champions
167,2024-07-28,1,166.48,61,4,1,2,412,Developing Customers
168,2023-11-30,2,86.12,302,2,1,1,211,Low Engagement
169,2024-01-11,3,449.21999999999997,260,2,3,3,233,At Risk
170,2023-11-12,2,262.64,320,2,1,2,212,Low Engagement
171,2023-10-12,1,18.51,351,2,1,1,211,Low Engagement
172,2023-12-01,1,76.05,301,2,1,1,211,Low Engagement
173,2023-12-30,3,347.32,272,2,3,3,233,At Risk
174,2023-12-01,1,45.03,301,2,1,1,211,Low Engagement
178,2022-10-13,1,9.66,715,1,1,1,111,Low Engagement
179,2023-11-29,2,298.39,303,2,1,3,213,High Value At Risk
180,2024-07-28,4,358.22999999999996,61,4,3,3,433,Champions
182,2024-06-30,4,1055.01,89,4,3,4,434,Champions
183,2024-01-21,4,478.35,250,2,3,4,234,At Risk
184,2022-11-15,1,60.56,682,1,1,1,111,Low Engagement
186,2024-08-21,4,826.9200000000001,37,4,3,4,434,Champions
187,2023-08-10,1,37.43,414,2,1,1,211,Low Engagement
188,2022-03-25,1,18.92,917,1,1,1,111,Low Engagement
189,2024-01-05,3,348.72,266,2,3,3,233,At Risk
191,2024-06-08,3,70.34,111,3,3,1,331,Loyal Customers
192,2024-02-26,3,1016.9499999999999,214,3,3,4,334,Champions
193,2023-05-19,3,471.38,497,1,3,4,134,At Risk
194,2024-01-19,1,52.27,252,2,1,1,211,Low Engagement
195,2024-05-12,2,80.84,138,3,1,1,311,Developing Customers
196,2023-04-17,2,439.15999999999997,529,1,1,3,113,High Value At Risk
197,2024-08-01,4,568.06,57,4,3,4,434,Champions
198,2023-01-27,3,190.4,609,1,3,2,132,At Risk
199,2023-12-14,3,354.53,288,2,3,3,233,At Risk
200,2024-09-07,4,474.51,20,4,3,4,434,Champions
201,2024-09-08,4,567.8399999999999,19,4,3,4,434,Champions
202,2024-08-10,7,953.51,48,4,4,4,444,Champions
204,2023-01-10,2,336.05,626,1,1,3,113,High Value At Risk
205,2024-08-31,1,225.34,27,4,1,2,412,Developing Customers
206,2024-08-28,3,127.21000000000001,30,4,3,2,432,Loyal Customers
207,2023-08-06,3,488.74,418,2,3,4,234,At Risk
208,2024-07-25,3,179.15,64,4,3,2,432,Loyal Customers
209,2023-04-05,1,103.37,541,1,1,1,111,Low Engagement
210,2022-06-07,1,170.31,843,1,1,2,112,Low Engagement
211,2024-04-04,1,23.42,176,3,1,1,311,Developing Customers
212,2024-02-20,1,71.17,220,3,1,1,311,Developing Customers
213,2023-04-11,2,217.51000000000002,535,1,1,2,112,Low Engagement
214,2023-09-30,6,768.87,363,2,4,4,244,At Risk
215,2024-05-23,7,501.83000000000004,127,3,4,4,344,Champions
216,2023-10-26,1,141.33,337,2,1,2,212,Low Engagement
217,2023-12-27,3,608.3,275,2,3,4,234,At Risk
218,2024-06-26,3,412.63,93,4,3,3,433,Champions
219,2023-08-16,2,128.87,408,2,1,2,212,Low Engagement
220,2024-09-13,3,34.13,14,4,3,1,431,Loyal Customers
222,2023-07-15,3,593.87,440,2,3,4,234,At Risk
223,2023-10-20,1,63.88,343,2,1,1,211,Low Engagement
224,2024-04-05,2,146.2,175,3,1,2,312,Developing Customers
225,2024-07-05,3,748.53,84,4,3,4,434,Champions
226,2024-07-11,4,619.81,78,4,3,4,434,Champions
227,2024-02-28,2,264.24,212,3,1,2,312,Developing Customers
228,2023-12-16,1,83.34,286,2,1,1,211,Low Engagement
229,2023-09-11,1,269.24,382,2,1,3,213,High Value At Risk
230,2022-05-31,2,106.78,850,1,1,1,111,Low Engagement
231,2024-08-01,3,454.61,57,4,3,3,433,Champions
232,2024-09-02,3,339.09000000000003,25,4,3,3,433,Champions
233,2022-07-04,2,40.11,816,1,1,1,111,Low Engagement
234,2023-07-22,2,249.05,433,2,1,2,212,Low Engagement
235,2024-06-05,4,570.23,114,3,3,4,334,Champions
236,2024-07-21,3,368.14,68,4,3,3,433,Champions
237,2023-11-05,1,102.7,327,2,1,1,211,Low Engagement
238,2024-03-07,1,8.23,204,3,1,1,311,Developing Customers
239,2024-03-21,3,719.6800000000001,190,3,3,4,334,Champions
240,2024-08-31,7,1792.1200000000001,27,4,4,4,444,Champions
241,2024-09-13,8,651.24,14,4,4,4,444,Champions
242,2024-09-22,4,265.40999999999997,5,4,3,3,433,Champions
243,2024-08-19,4,953.23,39,4,3,4,434,Champions
244,2023-05-12,1,658.97,504,1,1,4,114,High Value At Risk
245,2024-04-03,4,498.51,177,3,3,4,334,Champions
247,2024-06-23,4,496.47,96,4,3,4,434,Champions
248,2024-07-01,4,394.85,88,4,3,3,433,Champions
250,2024-04-17,3,418.95,163,3,3,3,333,Champions
251,2024-08-30,4,763.14,28,4,3,4,434,Champions
252,2024-04-05,4,292.1,175,3,3,3,333,Champions
253,2023-10-10,1,9.59,353,2,1,1,211,Low Engagement
254,2023-01-03,4,412.84,633,1,3,3,133,At Risk
255,2024-07-27,1,132.67,62,4,1,2,412,Developing Customers
256,2023-08-21,1,106.93,403,2,1,1,211,Low Engagement
257,2022-06-11,1,390.98,839,1,1,3,113,High Value At Risk
258,2023-04-06,3,269.24,540,1,3,3,133,At Risk
259,2023-09-26,2,281.24,367,2,1,3,213,High Value At Risk
260,2024-06-18,2,260.39,101,4,1,2,412,Developing Customers
261,2024-04-12,1,66.09,168,3,1,1,311,Developing Customers
262,2023-05-16,2,61.239999999999995,500,1,1,1,111,Low Engagement
263,2024-07-28,1,80.69,61,4,1,1,411,Developing Customers
264,2024-09-05,2,105.26,22,4,1,1,411,Developing Customers
265,2024-09-18,5,1080.8200000000002,9,4,4,4,444,Champions
266,2024-05-10,4,856.11,140,3,3,4,334,Champions
267,2024-03-30,4,390.35,181,3,3,3,333,Champions
268,2023-10-03,2,313.04,360,2,1,3,213,High Value At Risk
269,2024-01-11,1,196.05,260,2,1,2,212,Low Engagement
270,2023-07-01,1,113.85,454,2,1,1,211,Low Engagement
271,2023-09-24,1,69.8,369,2,1,1,211,Low Engagement
272,2023-06-05,1,113.75,480,1,1,1,111,Low Engagement
273,2023-10-13,2,493.78,350,2,1,4,214,High Value At Risk
274,2024-06-30,6,787.77,89,4,4,4,444,Champions
275,2024-09-03,2,189.44,24,4,1,2,412,Developing Customers
276,2023-08-29,2,379.17999999999995,395,2,1,3,213,High Value At Risk
277,2022-01-16,1,43.5,985,1,1,1,111,Low Engagement
278,2024-04-02,2,453.09000000000003,178,3,1,3,313,Potential Loyalists
279,2023-06-09,1,107.5,476,1,1,1,111,Low Engagement
281,2022-08-15,1,71.63,774,1,1,1,111,Low Engagement
282,2024-02-01,3,679.01,239,3,3,4,334,Champions
283,2023-04-15,2,242.3,531,1,1,2,112,Low Engagement
284,2022-06-16,1,164.02,834,1,1,2,112,Low Engagement
285,2024-02-18,3,237.87,222,3,3,2,332,Loyal Customers
286,2024-08-06,2,129.26,52,4,1,2,412,Developing Customers
287,2023-07-21,2,124.62,434,2,1,1,211,Low Engagement
288,2024-09-10,3,197.13,17,4,3,2,432,Loyal Customers
289,2024-08-05,3,116.22999999999999,53,4,3,1,431,Loyal Customers
290,2023-11-28,2,81.1,304,2,1,1,211,Low Engagement
291,2022-06-05,1,1.2,845,1,1,1,111,Low Engagement
292,2024-05-17,1,96.77,133,3,1,1,311,Developing Customers
293,2023-08-28,4,170.85,396,2,3,2,232,At Risk
294,2024-05-01,3,123.91999999999999,149,3,3,1,331,Loyal Customers
295,2024-03-13,6,941.11,198,3,4,4,344,Champions
296,2024-05-04,3,538.46,146,3,3,4,334,Champions
297,2023-08-06,3,582.54,418,2,3,4,234,At Risk
298,2023-09-13,3,334.95,380,2,3,3,233,At Risk
299,2024-04-30,3,249.69,150,3,3,2,332,Loyal Customers
300,2023-06-30,1,124.1,455,2,1,1,211,Low Engagement
301,2023-11-28,1,82.09,304,2,1,1,211,Low Engagement
302,2023-10-21,2,237.68,342,2,1,2,212,Low Engagement
303,2024-03-18,4,471.77,193,3,3,4,334,Champions
304,2024-06-03,4,562.5,116,3,3,4,334,Champions
305,2024-03-31,2,387.83000000000004,180,3,1,3,313,Potential Loyalists
306,2024-06-20,2,131.6,99,4,1,2,412,Developing Customers
307,2022-01-23,1,554.84,978,1,1,4,114,High Value At Risk
308,2023-06-09,1,166.71,476,1,1,2,112,Low Engagement
309,2022-07-02,1,64.33,818,1,1,1,111,Low Engagement
310,2024-06-22,4,225.77,97,4,3,2,432,Loyal Customers
311,2024-09-06,2,228.92000000000002,21,4,1,2,412,Developing Customers
312,2023-09-22,5,362.69,371,2,4,3,243,At Risk
313,2023-07-15,2,206.0,440,2,1,2,212,Low Engagement
314,2024-05-23,2,69.88,127,3,1,1,311,Developing Customers
315,2024-09-18,6,720.11,9,4,4,4,444,Champions
316,2022-03-08,1,242.68,934,1,1,2,112,Low Engagement
317,2024-03-21,3,291.11,190,3,3,3,333,Champions
318,2024-01-15,1,143.03,256,2,1,2,212,Low Engagement
319,2023-03-06,2,313.94,571,1,1,3,113,High Value At Risk
320,2024-01-19,2,362.93,252,2,1,3,213,High Value At Risk
321,2023-11-07,3,369.49,325,2,3,3,233,At Risk
322,2024-02-02,6,972.2800000000001,238,3,4,4,344,Champions
323,2024-02-25,1,471.38,215,3,1,4,314,Potential Loyalists
324,2022-01-12,1,15.3,989,1,1,1,111,Low Engagement
325,2024-07-25,2,1222.06,64,4,1,4,414,Potential Loyalists
326,2024-07-04,5,454.61,85,4,4,3,443,Champions
327,2022-06-24,1,177.43,826,1,1,2,112,Low Engagement
328,2024-06-29,4,662.01,90,4,3,4,434,Champions
329,2023-12-18,2,453.78,284,2,1,3,213,High Value At Risk
330,2024-09-09,1,202.41,18,4,1,2,412,Developing Customers
331,2024-07-28,3,42.769999999999996,61,4,3,1,431,Loyal Customers
332,2023-12-15,3,310.18,287,2,3,3,233,At Risk
333,2022-06-28,2,64.72,822,1,1,1,111,Low Engagement
334,2024-03-20,7,494.01,191,3,4,4,344,Champions
335,2024-02-09,3,279.82,231,3,3,3,333,Champions
336,2024-02-05,5,898.73,235,3,4,4,344,Champions
338,2024-08-19,4,425.34000000000003,39,4,3,3,433,Champions
339,2023-10-20,2,54.67,343,2,1,1,211,Low Engagement
341,2023-02-08,1,120.31,597,1,1,1,111,Low Engagement
342,2023-11-27,3,235.59,305,2,3,2,232,At Risk
343,2023-03-16,2,27.04,561,1,1,1,111,Low Engagement
344,2024-04-11,3,239.98,169,3,3,2,332,Loyal Customers
345,2022-12-11,1,379.55,656,1,1,3,113,High Value At Risk
346,2022-01-09,1,1.22,992,1,1,1,111,Low Engagement
347,2024-04-14,7,671.9300000000001,166,3,4,4,344,Champions
348,2023-10-30,3,1081.5,333,2,3,4,234,At Risk
349,2024-09-26,4,425.71999999999997,1,4,3,3,433,Champions
350,2023-06-09,2,25.8,476,1,1,1,111,Low Engagement
351,2023-03-25,2,169.46,552,1,1,2,112,Low Engagement
352,2023-11-08,4,277.72,324,2,3,3,233,At Risk
353,2023-06-02,2,363.06,483,1,1,3,113,High Value At Risk
354,2024-09-09,5,504.55,18,4,4,4,444,Champions
355,2023-11-17,3,254.01,315,2,3,2,232,At Risk
356,2024-07-16,6,332.42,73,4,4,3,443,Champions
357,2024-01-06,2,394.2,265,2,1,3,213,High Value At Risk
358,2024-04-26,4,559.78,154,3,3,4,334,Champions
359,2024-04-13,2,47.92,167,3,1,1,311,Developing Customers
360,2024-03-07,4,869.78,204,3,3,4,334,Champions
361,2024-08-08,3,454.65,50,4,3,3,433,Champions
362,2024-04-14,4,321.90999999999997,166,3,3,3,333,Champions
363,2024-07-26,7,882.3,63,4,4,4,444,Champions
364,2023-12-09,3,264.34000000000003,293,2,3,3,233,At Risk
365,2024-03-29,2,197.48,182,3,1,2,312,Developing Customers
366,2023-09-02,2,584.54,391,2,1,4,214,High Value At Risk
368,2024-04-13,3,208.81,167,3,3,2,332,Loyal Customers
370,2023-09-23,2,61.5,370,2,1,1,211,Low Engagement
372,2023-07-19,4,870.21,436,2,3,4,234,At Risk
373,2023-08-21,2,351.86,403,2,1,3,213,High Value At Risk
375,2024-08-27,7,512.67,31,4,4,4,444,Champions
376,2023-09-16,3,407.65999999999997,377,2,3,3,233,At Risk
377,2023-10-18,4,869.6199999999999,345,2,3,4,234,At Risk
378,2024-05-06,6,1490.57,144,3,4,4,344,Champions
379,2022-12-23,1,7.39,644,1,1,1,111,Low Engagement
380,2024-08-24,2,267.66999999999996,34,4,1,3,413,Potential Loyalists
381,2024-08-27,4,713.43,31,4,3,4,434,Champions
382,2024-04-28,2,498.37,152,3,1,4,314,Potential Loyalists
383,2024-07-08,3,212.48000000000002,81,4,3,2,432,Loyal Customers
384,2024-05-11,1,294.9,139,3,1,3,313,Potential Loyalists
385,2024-03-07,4,552.07,204,3,3,4,334,Champions
386,2024-09-26,4,241.29,1,4,3,2,432,Loyal Customers
387,2023-05-11,2,99.99000000000001,505,1,1,1,111,Low Engagement
388,2022-10-21,3,146.4,707,1,3,2,132,At Risk
389,2023-11-22,1,50.13,310,2,1,1,211,Low Engagement
390,2024-03-26,2,570.36,185,3,1,4,314,Potential Loyalists
391,2023-09-01,3,273.46000000000004,392,2,3,3,233,At Risk
392,2022-03-26,1,259.6,916,1,1,2,112,Low Engagement
393,2023-10-28,1,67.43,335,2,1,1,211,Low Engagement
394,2023-05-30,1,42.97,486,1,1,1,111,Low Engagement
395,2022-09-28,3,677.05,730,1,3,4,134,At Risk
396,2023-02-28,2,103.08000000000001,577,1,1,1,111,Low Engagement
398,2024-02-18,3,430.26,222,3,3,3,333,Champions
399,2023-02-04,1,37.2,601,1,1,1,111,Low Engagement
400,2024-08-19,3,301.65,39,4,3,3,433,Champions
401,2022-05-05,1,123.39,876,1,1,1,111,Low Engagement
402,2023-01-15,1,94.79,621,1,1,1,111,Low Engagement
403,2024-07-30,6,1113.79,59,4,4,4,444,Champions
404,2022-08-15,1,64.51,774,1,1,1,111,Low Engagement
405,2023-05-30,3,188.81,486,1,3,2,132,At Risk
406,2023-12-13,1,343.37,289,2,1,3,213,High Value At Risk
407,2023-02-13,2,321.02000000000004,592,1,1,3,113,High Value At Risk
408,2024-03-31,4,462.22999999999996,180,3,3,4,334,Champions
409,2024-05-05,1,134.45,145,3,1,2,312,Developing Customers
410,2024-05-21,6,804.04,129,3,4,4,344,Champions
411,2024-05-01,2,53.410000000000004,149,3,1,1,311,Developing Customers
412,2024-09-04,4,706.58,23,4,3,4,434,Champions
413,2024-03-23,4,426.68,188,3,3,3,333,Champions
414,2024-03-11,2,285.24,200,3,1,3,313,Potential Loyalists
415,2023-02-19,2,187.77,586,1,1,2,112,Low Engagement
416,2022-12-24,1,269.03,643,1,1,3,113,High Value At Risk
417,2023-01-28,2,260.58,608,1,1,2,112,Low Engagement
418,2024-04-22,3,341.65,158,3,3,3,333,Champions
419,2024-05-15,4,759.5,135,3,3,4,334,Champions
421,2024-07-16,4,590.46,73,4,3,4,434,Champions
422,2023-07-17,1,318.23,438,2,1,3,213,High Value At Risk
423,2023-12-13,2,396.4,289,2,1,3,213,High Value At Risk
424,2024-02-02,2,224.41,238,3,1,2,312,Developing Customers
425,2023-09-01,2,239.2,392,2,1,2,212,Low Engagement
426,2023-05-04,2,99.55,512,1,1,1,111,Low Engagement
427,2023-12-11,1,176.34,291,2,1,2,212,Low Engagement
428,2024-09-06,11,1433.36,21,4,4,4,444,Champions
429,2024-08-15,3,240.79,43,4,3,2,432,Loyal Customers
430,2024-06-08,3,324.83,111,3,3,3,333,Champions
431,2024-08-26,3,314.59,32,4,3,3,433,Champions
433,2022-09-09,1,19.75,749,1,1,1,111,Low Engagement
434,2023-10-17,4,265.06,346,2,3,3,233,At Risk
435,2024-02-24,2,339.93,216,3,1,3,313,Potential Loyalists
436,2022-08-22,1,7.52,767,1,1,1,111,Low Engagement
437,2022-01-25,1,13.46,976,1,1,1,111,Low Engagement
440,2024-02-01,3,449.20000000000005,239,3,3,3,333,Champions
441,2024-04-20,8,546.66,160,3,4,4,344,Champions
442,2024-04-15,2,225.05,165,3,1,2,312,Developing Customers
443,2024-09-18,4,586.0,9,4,3,4,434,Champions
444,2022-08-30,2,372.25,759,1,1,3,113,High Value At Risk
446,2024-06-14,2,89.99000000000001,105,3,1,1,311,Developing Customers
447,2023-07-16,1,27.58,439,2,1,1,211,Low Engagement
448,2023-12-09,2,556.66,293,2,1,4,214,High Value At Risk
449,2024-07-18,3,545.5699999999999,71,4,3,4,434,Champions
450,2023-08-20,6,556.96,404,2,4,4,244,At Risk
451,2024-07-12,3,218.33,77,4,3,2,432,Loyal Customers
452,2024-09-09,8,572.04,18,4,4,4,444,Champions
453,2022-10-23,2,95.67,705,1,1,1,111,Low Engagement
454,2023-09-30,1,111.65,363,2,1,1,211,Low Engagement
455,2023-09-07,2,48.14,386,2,1,1,211,Low Engagement
456,2023-04-20,1,3.32,526,1,1,1,111,Low Engagement
457,2023-06-25,3,469.13,460,2,3,4,234,At Risk
458,2023-04-26,4,826.99,520,1,3,4,134,At Risk
459,2022-12-02,2,285.14,665,1,1,3,113,High Value At Risk
460,2024-09-22,3,1293.53,5,4,3,4,434,Champions
461,2024-06-29,2,237.69,90,4,1,2,412,Developing Customers
462,2023-01-12,1,44.49,624,1,1,1,111,Low Engagement
463,2024-05-27,3,306.16999999999996,123,3,3,3,333,Champions
464,2024-02-13,1,277.55,227,3,1,3,313,Potential Loyalists
465,2022-11-04,3,48.03,693,1,3,1,131,At Risk
466,2024-07-04,3,141.78,85,4,3,2,432,Loyal Customers
467,2024-06-16,3,433.89,103,4,3,3,433,Champions
