acquisition_campaign,acquisition_campaign_type,acquired_customers,purchasing_customers,repeat_customers,total_revenue,total_orders,campaign_budget,region_target,conversion_rate,repeat_rate,revenue_per_customer,budget_based_cac,budget_based_roas,revenue_rank,roas_rank
140,Email,1052,967,731,318243.57,2581.0,322572.0,region_71,0.9192015209125475,0.7559462254395036,302.51289923954374,306.6273764258555,0.9865815073843979,18.0,122.0
126,Search,1055,979,776,317671.42,2656.0,184293.0,region_34,0.9279620853080569,0.7926455566905005,301.11035071090043,174.68530805687203,1.7237302556255527,19.0,76.0
82,Social,1037,957,753,317545.84,2676.0,212846.0,region_22,0.922854387656702,0.786833855799373,306.21585342333657,205.25168756027,1.4919041936423518,20.0,85.0
124,Display,1044,949,725,317133.49,2563.0,294718.0,region_59,0.9090038314176245,0.7639620653319283,303.76771072796936,282.29693486590037,1.0760574175991966,21.0,110.0
179,Display,1039,962,746,316228.03,2679.0,257736.0,region_54,0.9258902791145333,0.7754677754677755,304.35806544754575,248.06159769008661,1.2269455178942796,22.0,96.0
164,Display,1026,950,740,316175.96,2592.0,48638.0,region_50,0.9259259259259259,0.7789473684210526,308.16370370370373,47.40545808966861,6.5005954192195405,23.0,16.0
66,Display,1061,969,746,316140.25,2617.0,374612.0,region_46,0.9132893496701225,0.7698658410732714,297.96442035815267,353.0744580584354,0.8439138361825035,24.0,141.0
159,Email,1062,964,748,315967.35,2616.0,146194.0,region_50,0.9077212806026366,0.7759336099585062,297.5210451977401,137.65913370998118,2.1612880829582606,25.0,55.0
2,Email,1020,933,736,314352.06,2603.0,396598.0,region_39,0.9147058823529411,0.7888531618435155,308.18829411764705,388.821568627451,0.7926213949641703,26.0,152.0
18,Search,1025,936,721,314243.52,2597.0,183880.0,region_20,0.9131707317073171,0.7702991452991453,306.579043902439,179.39512195121952,1.7089597563628454,27.0,77.0
110,Search,1056,966,760,314023.92,2640.0,49749.0,region_33,0.9147727272727273,0.7867494824016563,297.37113636363637,47.11079545454545,6.312165470662727,28.0,17.0
181,Affiliate,1020,948,732,313907.8,2590.0,105462.0,region_67,0.9294117647058824,0.7721518987341772,307.7527450980392,103.39411764705882,2.9765014886878687,29.0,38.0
150,Affiliate,1032,940,726,313774.98,2547.0,77661.0,region_96,0.9108527131782945,0.7723404255319148,304.0455232558139,75.25290697674419,4.040315988720207,30.0,31.0
155,Social,1017,948,751,313374.09,2616.0,276765.0,region_77,0.9321533923303835,0.7921940928270043,308.1357817109145,272.1386430678466,1.13227499864506,31.0,104.0
185,Display,1000,913,708,312792.05,2536.0,57915.0,region_4,0.913,0.7754654983570646,312.79204999999996,57.915,5.400881464214797,32.0,22.0
86,Email,1020,937,736,312307.79,2561.0,34071.0,region_12,0.9186274509803921,0.7854855923159018,306.1841078431372,33.40294117647059,9.166381673564027,33.0,7.0
145,Display,1037,958,738,312063.29,2611.0,121317.0,region_37,0.9238187078109933,0.7703549060542797,300.9289199614272,116.98842815814851,2.5722964629854017,34.0,48.0
157,Display,989,916,711,312058.57,2537.0,268930.0,region_50,0.9261880687563195,0.7762008733624454,315.5293933265925,271.9211324570273,1.1603709887331275,35.0,99.0
106,Display,1030,926,730,311979.67,2573.0,375225.0,region_49,0.8990291262135922,0.7883369330453563,302.8928834951456,364.29611650485435,0.8314469185155573,36.0,145.0
30,Display,1006,918,717,311956.86,2563.0,325826.0,region_8,0.9125248508946322,0.7810457516339869,310.096282306163,323.88270377733596,0.957433906440861,37.0,124.0
1,Email,1000,923,701,311926.21,2518.0,148311.0,region_7,0.923,0.7594799566630552,311.92621,148.311,2.1031899859079908,38.0,59.0
192,Email,1034,943,744,311692.64,2551.0,17561.0,region_99,0.9119922630560928,0.7889713679745494,301.4435589941973,16.983558994197292,17.749139570639485,39.0,5.0
73,Affiliate,1026,944,734,311605.87,2571.0,439802.0,region_10,0.9200779727095516,0.777542372881356,303.70942495126707,428.6569200779727,0.708513990386583,40.0,173.0
188,Affiliate,1030,955,734,311265.04,2592.0,144668.0,region_37,0.9271844660194175,0.768586387434555,302.19906796116504,140.45436893203885,2.1515818287389057,41.0,56.0
149,Social,1026,933,719,311046.71,2581.0,83686.0,region_14,0.9093567251461988,0.7706323687031083,303.16443469785577,81.56530214424951,3.7168308916664676,42.0,32.0
78,Display,1029,943,734,310882.2,2568.0,147326.0,region_5,0.9164237123420796,0.7783669141039237,302.1206997084548,143.17395529640427,2.1101652118431233,43.0,58.0
26,Search,1014,928,732,310818.68,2529.0,311908.0,region_93,0.9151873767258383,0.7887931034482759,306.5272978303747,307.6015779092702,0.9965075599215153,44.0,121.0
27,Affiliate,1016,943,716,310763.69,2552.0,349853.0,region_94,0.9281496062992126,0.7592788971367974,305.86977362204726,344.3435039370079,0.888269330261567,45.0,132.0
146,Display,1003,911,700,310523.99,2557.0,149789.0,region_96,0.9082751744765702,0.7683863885839737,309.5952043868395,149.34097706879362,2.073076060324857,46.0,60.0
14,Affiliate,1042,949,748,310170.57,2643.0,116884.0,region_69,0.9107485604606526,0.7881981032665965,297.6684932821497,112.17274472168906,2.653661493446494,47.0,43.0
184,Display,1019,926,719,310147.5,2546.0,255885.0,region_9,0.9087340529931305,0.7764578833693304,304.36457311089305,251.11383709519137,1.2120581511225745,48.0,97.0
102,Display,1059,979,753,309614.4,2644.0,67108.0,region_48,0.9244570349386213,0.7691521961184883,292.36487252124647,63.36921624173749,4.613673481552126,49.0,26.0
58,Display,1051,964,735,309409.06,2592.0,375340.0,region_69,0.917221693625119,0.7624481327800829,294.3949191246432,357.1265461465271,0.8243434219640859,50.0,147.0
20,Social,981,904,720,308874.66,2559.0,457087.0,region_69,0.9215086646279307,0.7964601769911505,314.85694189602447,465.93985728848116,0.6757458864505006,51.0,186.0
196,Search,1020,926,712,308548.95,2509.0,396193.0,region_14,0.907843137254902,0.7688984881209503,302.4989705882353,388.4245098039216,0.7787844560605564,52.0,157.0
44,Email,1029,938,731,308392.8,2566.0,347889.0,region_5,0.9115646258503401,0.779317697228145,299.70145772594753,338.08454810495624,0.8864689599268732,53.0,134.0
176,Display,1036,953,727,308304.4,2575.0,151339.0,region_56,0.9198841698841699,0.7628541448058762,297.59111969111973,146.08011583011583,2.0371774625179233,54.0,63.0
121,Social,1031,945,752,308019.1,2603.0,33624.0,region_71,0.9165858389912707,0.7957671957671958,298.7576139670223,32.612997090203685,9.160691767784915,55.0,8.0
131,Social,983,900,711,307536.65,2499.0,390975.0,region_77,0.9155645981688708,0.79,312.85518819938966,397.736520854527,0.786589040219963,56.0,154.0
11,Search,1039,951,744,307452.09,2575.0,446160.0,region_58,0.9153031761308951,0.7823343848580442,295.9115399422522,429.4128970163619,0.6891072485207101,57.0,183.0
63,Search,965,889,703,307444.66,2463.0,292107.0,region_96,0.9212435233160622,0.7907761529808774,318.59550259067356,302.7015544041451,1.0525069923007664,58.0,113.0
25,Email,1007,928,720,307246.88,2554.0,11252.0,region_61,0.9215491559086395,0.7758620689655172,305.1111022840119,11.173783515392254,27.3059793814433,59.0,1.0
194,Display,1043,952,710,306546.25,2570.0,92152.0,region_51,0.912751677852349,0.7457983193277311,293.9081975071908,88.35282837967402,3.326528452990711,60.0,35.0
199,Social,1021,939,714,306503.94,2606.0,36069.0,region_4,0.9196865817825661,0.7603833865814696,300.19974534769835,35.32713026444662,8.497711053813525,61.0,11.0
153,Social,1000,914,707,306337.44,2519.0,157820.0,region_96,0.914,0.7735229759299781,306.33744,157.82,1.941055886452921,62.0,68.0
88,Affiliate,1009,930,709,305746.98,2501.0,397971.0,region_1,0.9217046580773043,0.7623655913978494,303.0198017839445,394.42120911793853,0.7682644715318452,63.0,159.0
172,Social,1021,942,760,305704.9,2576.0,56271.0,region_26,0.9226248775710089,0.8067940552016986,299.41714005876594,55.113614103819785,5.432725560235291,64.0,21.0
101,Display,1000,930,713,305467.64,2565.0,427170.0,region_94,0.93,0.7666666666666667,305.46764,427.17,0.7150961912119297,65.0,170.0
24,Search,1029,941,710,305399.48,2530.0,54238.0,region_61,0.9144800777453839,0.7545164718384697,296.79249757045676,52.709426627793974,5.630729009181755,66.0,19.0
35,Social,1013,930,716,305335.59,2492.0,16949.0,region_23,0.9180651530108588,0.7698924731182796,301.4171668311945,16.731490621915103,18.014961944657504,67.0,4.0
115,Email,1008,930,721,305235.11,2532.0,234301.0,region_39,0.9226190476190477,0.7752688172043011,302.8126091269841,232.44146825396825,1.302747790235637,68.0,90.0
107,Search,998,915,709,305127.45,2532.0,46668.0,region_77,0.9168336673346693,0.774863387978142,305.73892785571144,46.76152304609219,6.538258549755722,69.0,15.0
128,Social,1027,953,752,305053.43,2625.0,269127.0,region_36,0.9279454722492697,0.789087093389297,297.03352482960076,262.0516066212269,1.1334924775291961,70.0,103.0
154,Social,1038,942,722,305012.5,2531.0,377257.0,region_65,0.9075144508670521,0.7664543524416136,293.84633911368013,363.4460500963391,0.808500571228632,71.0,149.0
3,Email,1013,939,737,304983.14,2568.0,286633.0,region_82,0.926949654491609,0.784877529286475,301.06923988154,282.9545903257651,1.0640196348640945,72.0,112.0
21,Display,969,903,725,304814.4,2498.0,291342.0,region_3,0.9318885448916409,0.8028792912513842,314.56594427244585,300.6625386996904,1.0462425602899685,73.0,115.0
174,Affiliate,1004,919,732,304605.96,2492.0,441734.0,region_28,0.9153386454183267,0.7965179542981502,303.39239043824705,439.97410358565736,0.6895687449913297,74.0,182.0
54,Affiliate,1021,956,753,304556.09,2624.0,193401.0,region_50,0.9363369245837414,0.7876569037656904,298.291958863859,189.42311459353576,1.5747389620529368,75.0,80.0
193,Affiliate,988,915,739,304506.38,2554.0,477010.0,region_87,0.9261133603238867,0.8076502732240437,308.20483805668016,482.80364372469637,0.6383647722269974,76.0,191.0
103,Display,1044,957,728,303839.11,2564.0,490260.0,region_68,0.9166666666666666,0.7607105538140021,291.0336302681992,469.5977011494253,0.6197509688736589,77.0,195.0
129,Social,986,900,703,303829.64,2504.0,196717.0,region_4,0.9127789046653144,0.7811111111111111,308.1436511156187,199.51014198782963,1.5445011869843481,78.0,81.0
4,Search,1007,929,705,302727.69,2494.0,199089.0,region_41,0.9225422045680238,0.7588805166846071,300.62332671300896,197.70506454816285,1.5205646218525384,79.0,82.0
55,Social,977,914,717,302684.98,2519.0,263490.0,region_44,0.9355168884339816,0.7844638949671773,309.81062436028657,269.6929375639713,1.1487531974647993,80.0,102.0
96,Display,1007,916,703,302576.86,2480.0,387503.0,region_14,0.9096325719960278,0.767467248908297,300.473545183714,384.8093346573982,0.7808374644841459,81.0,155.0
147,Affiliate,981,898,698,302563.74,2504.0,399593.0,region_22,0.9153924566768603,0.77728285077951,308.42379204892967,407.3323139653415,0.7571797804265841,82.0,163.0
37,Display,988,897,704,302539.82,2480.0,327537.0,region_5,0.9078947368421053,0.7848383500557413,306.2143927125506,331.5151821862348,0.9236813550835479,83.0,126.0
108,Affiliate,1010,920,711,302308.76,2518.0,295205.0,region_74,0.9108910891089109,0.7728260869565218,299.31560396039606,292.2821782178218,1.0240638200572483,84.0,117.0
167,Affiliate,1011,922,725,301794.23,2542.0,115977.0,region_63,0.9119683481701286,0.7863340563991323,298.51061325420375,114.71513353115726,2.6021903480862583,85.0,46.0
70,Affiliate,1017,931,718,301635.0,2532.0,15569.0,region_63,0.9154375614552606,0.7712137486573577,296.5929203539823,15.308751229105212,19.374076690860043,86.0,3.0
98,Search,1004,929,707,301574.71,2540.0,38732.0,region_37,0.9252988047808764,0.7610333692142088,300.3732171314741,38.57768924302789,7.78618997211608,87.0,13.0
116,Display,1002,928,750,301477.69,2573.0,61745.0,region_63,0.9261477045908184,0.8081896551724138,300.8759381237525,61.62175648702595,4.882625151834157,88.0,25.0
38,Affiliate,985,914,715,301205.74,2476.0,214625.0,region_65,0.9279187817258884,0.7822757111597374,305.79262944162434,217.89340101522842,1.4034047291788,89.0,86.0
143,Display,1008,928,725,301069.35,2528.0,485774.0,region_31,0.9206349206349206,0.78125,298.6799107142857,481.9186507936508,0.6197724662085661,90.0,194.0
122,Search,1004,922,712,300987.27,2546.0,33321.0,region_10,0.9183266932270916,0.7722342733188721,299.7881175298805,33.18824701195219,9.032960295309264,91.0,10.0
137,Affiliate,983,894,697,300801.21,2419.0,200471.0,region_88,0.9094608341810784,0.7796420581655481,306.0032655137335,203.93794506612412,1.5004724374098999,92.0,83.0
43,Search,981,904,707,300635.76,2534.0,465102.0,region_78,0.9215086646279307,0.7820796460176991,306.45847094801223,474.11009174311926,0.6463867280725518,93.0,189.0
133,Search,997,904,706,300511.27,2507.0,145504.0,region_61,0.9067201604814443,0.7809734513274337,301.41551654964894,145.9418254764293,2.065312774906532,94.0,61.0
22,Display,995,914,704,300351.06,2479.0,422974.0,region_93,0.9185929648241206,0.7702407002188184,301.86036180904523,425.0994974874372,0.7100934336389471,95.0,172.0
81,Search,985,907,715,300223.95,2438.0,221791.0,region_4,0.9208121827411168,0.7883131201764058,304.7958883248731,225.16852791878173,1.3536345027525916,96.0,88.0
136,Search,990,910,704,300168.71,2497.0,220176.0,region_41,0.9191919191919192,0.7736263736263737,303.2007171717172,222.4,1.3633125772109587,97.0,87.0
105,Search,997,909,709,299968.96,2456.0,121195.0,region_59,0.9117352056168505,0.7799779977997799,300.87157472417255,121.55967903711134,2.4750935269606833,98.0,50.0
16,Email,1023,935,732,299501.38,2558.0,296429.0,region_52,0.9139784946236559,0.7828877005347593,292.7677223851417,289.7644183773216,1.0103646404366644,99.0,120.0
64,Email,970,894,677,299464.73,2416.0,327267.0,region_19,0.9216494845360824,0.7572706935123042,308.7265257731959,337.38865979381444,0.9150471327692679,100.0,127.0
169,Email,976,888,700,299369.38,2433.0,115186.0,region_28,0.9098360655737705,0.7882882882882883,306.73092213114757,118.01844262295081,2.5990083864358517,101.0,47.0
67,Search,977,898,694,299264.37,2466.0,233777.0,region_0,0.9191402251791198,0.7728285077951003,306.30948822927326,239.2804503582395,1.280127514682796,102.0,93.0
125,Social,1010,921,711,299067.63,2513.0,408456.0,region_29,0.9118811881188119,0.7719869706840391,296.1065643564356,404.4118811881188,0.7321905664257594,103.0,166.0
156,Affiliate,984,903,709,298835.71,2486.0,156106.0,region_52,0.9176829268292683,0.7851605758582503,303.6948272357724,158.64430894308944,1.9143127746531206,104.0,70.0
57,Display,1014,920,715,298803.02,2461.0,257940.0,region_4,0.9072978303747534,0.7771739130434783,294.6775345167653,254.37869822485206,1.1584206404590216,105.0,101.0
72,Search,994,916,717,298740.2,2476.0,114573.0,region_36,0.9215291750503019,0.7827510917030568,300.54346076458756,115.2645875251509,2.6074223420875775,106.0,45.0
23,Affiliate,985,894,718,298662.68,2511.0,25254.0,region_74,0.9076142131979695,0.8031319910514542,303.2108426395939,25.638578680203047,11.826351469074206,107.0,6.0
83,Search,1007,930,709,297757.98,2500.0,147162.0,region_9,0.9235352532274081,0.7623655913978494,295.68816285998014,146.1390268123138,2.023334692379826,108.0,64.0
113,Email,987,910,704,297634.98,2501.0,157979.0,region_34,0.9219858156028369,0.7736263736263737,301.555197568389,160.0597771023303,1.884016103406149,109.0,71.0
56,Social,991,903,714,297209.15,2471.0,53088.0,region_43,0.9112008072653885,0.7906976744186046,299.9083249243189,53.57013118062563,5.598424314345992,110.0,20.0
36,Social,997,902,675,297161.18,2434.0,248897.0,region_94,0.9047141424272819,0.7483370288248337,298.05534603811435,249.64593781344033,1.193912260895069,111.0,98.0
97,Social,1019,952,719,297102.02,2519.0,347841.0,region_23,0.9342492639842983,0.7552521008403361,291.56233562316,341.3552502453386,0.8541316866039369,112.0,137.0
134,Display,1020,927,713,297012.68,2475.0,105257.0,region_3,0.9088235294117647,0.7691477885652643,291.18890196078434,103.19313725490196,2.8217855344537655,113.0,40.0
60,Affiliate,962,887,685,296843.46,2450.0,327623.0,region_67,0.922037422037422,0.7722660653889515,308.56908523908527,340.56444906444904,0.906051956059251,114.0,129.0
130,Search,966,881,681,296742.27,2445.0,422478.0,region_82,0.912008281573499,0.7729852440408627,307.1866149068323,437.3478260869565,0.7023851419482199,115.0,179.0
89,Display,1000,916,701,296634.94,2430.0,380359.0,region_83,0.916,0.7652838427947598,296.63494000000003,380.359,0.7798814803908939,116.0,156.0
163,Affiliate,984,915,716,296498.11,2540.0,458874.0,region_6,0.9298780487804879,0.7825136612021858,301.31921747967476,466.3353658536585,0.6461427537842632,117.0,190.0
61,Display,968,902,687,296182.62,2453.0,226464.0,region_18,0.9318181818181818,0.761640798226164,305.9737809917355,233.9504132231405,1.3078574077999152,118.0,89.0
87,Email,992,916,727,296156.25,2527.0,68243.0,region_39,0.9233870967741935,0.7936681222707423,298.5446068548387,68.79334677419355,4.339730814882112,119.0,29.0
195,Display,1017,922,726,296077.93,2499.0,135036.0,region_55,0.9065880039331367,0.7874186550976139,291.12874139626354,132.7787610619469,2.1925851624751918,120.0,54.0
79,Display,974,879,690,296075.08,2444.0,420360.0,region_49,0.9024640657084189,0.7849829351535836,303.97852156057496,431.5811088295688,0.7043369492815682,121.0,177.0
170,Display,997,896,694,296047.75,2431.0,306818.0,region_32,0.8986960882647944,0.7745535714285714,296.9385656970913,307.741223671013,0.964896942161151,122.0,123.0
80,Social,1002,940,728,295847.6,2526.0,165286.0,region_9,0.93812375249501,0.774468085106383,295.2570858283433,164.9560878243513,1.7899132412908534,123.0,75.0
160,Email,1010,930,710,295285.84,2542.0,290174.0,region_69,0.9207920792079208,0.7634408602150538,292.3622178217822,287.3009900990099,1.0176164646039962,124.0,118.0
161,Social,1001,905,713,295227.4,2447.0,354982.0,region_5,0.9040959040959041,0.7878453038674034,294.93246753246757,354.6273726273726,0.8316686479877854,125.0,144.0
123,Search,986,912,675,295093.36,2422.0,413704.0,region_13,0.9249492900608519,0.7401315789473685,299.2833265720081,419.57809330628805,0.713295883046816,126.0,171.0
32,Display,1013,938,737,294713.58,2526.0,91317.0,region_30,0.9259624876604146,0.7857142857142857,290.9314708785785,90.14511352418559,3.227368178980913,127.0,37.0
51,Social,963,882,682,294689.56,2407.0,260875.0,region_74,0.9158878504672897,0.7732426303854876,306.0120041536864,270.89823468328143,1.1296197795879253,128.0,105.0
19,Affiliate,988,899,723,294640.16,2474.0,491680.0,region_69,0.909919028340081,0.8042269187986651,298.2187854251012,497.6518218623482,0.599251871135698,129.0,199.0
62,Email,980,905,717,294312.63,2459.0,228441.0,region_83,0.923469387755102,0.7922651933701658,300.3190102040816,233.1030612244898,1.2883529226364794,130.0,92.0
198,Email,1003,905,703,293835.35,2453.0,409587.0,region_7,0.9022931206380858,0.7767955801104972,292.956480558325,408.3619142572283,0.7173942288207389,131.0,169.0
46,Social,1014,930,731,293762.32,2535.0,366600.0,region_50,0.9171597633136095,0.7860215053763441,289.70642998027614,361.53846153846155,0.8013156573922532,132.0,151.0
84,Search,986,897,681,293621.06,2376.0,152709.0,region_43,0.90973630831643,0.7591973244147158,297.79012170385397,154.87728194726165,1.9227488884086728,133.0,69.0
95,Email,979,878,667,293562.36,2417.0,341868.0,region_74,0.8968335035750766,0.7596810933940774,299.8594075587334,349.2012257405516,0.8587009021025659,134.0,136.0
178,Email,979,902,684,293555.23,2441.0,11062.0,region_26,0.9213483146067416,0.7583148558758315,299.8521246169561,11.299284984678243,26.537265413126015,135.0,2.0
91,Email,966,903,720,293070.84,2473.0,267218.0,region_62,0.9347826086956522,0.7973421926910299,303.38596273291927,276.6231884057971,1.0967481232551701,136.0,108.0
48,Email,964,901,693,293039.93,2444.0,460016.0,region_56,0.9346473029045643,0.7691453940066593,303.9833298755187,477.19502074688796,0.6370211688289102,137.0,192.0
12,Display,961,885,697,293033.84,2450.0,125765.0,region_55,0.9209157127991675,0.7875706214689265,304.92595213319464,130.86888657648282,2.3300110523595596,138.0,52.0
118,Email,991,917,728,292823.68,2493.0,101865.0,region_59,0.9253279515640767,0.7938931297709924,295.48302724520687,102.79011099899091,2.8746250429490012,139.0,39.0
151,Display,1030,947,732,292749.21,2493.0,54247.0,region_24,0.9194174757281554,0.7729672650475184,284.22253398058257,52.66699029126214,5.396597231183292,140.0,23.0
53,Social,976,903,706,292335.39,2420.0,80390.0,region_25,0.9252049180327869,0.7818383167220376,299.52396516393446,82.36680327868852,3.6364646100261226,141.0,33.0
127,Search,987,907,690,292262.08,2470.0,413694.0,region_84,0.9189463019250254,0.7607497243660419,296.11152988855116,419.14285714285717,0.7064692260463048,142.0,176.0
45,Social,980,901,701,292231.67,2425.0,486467.0,region_93,0.9193877551020408,0.7780244173140954,298.19558163265305,496.39489795918365,0.6007224950510517,143.0,197.0
142,Search,989,915,723,292172.92,2470.0,403518.0,region_13,0.9251769464105156,0.7901639344262295,295.42256825075833,408.0060667340748,0.7240641557501771,144.0,167.0
187,Social,967,898,699,292039.27,2440.0,114592.0,region_96,0.9286452947259566,0.7783964365256125,302.00544984488107,118.50258531540848,2.5485135960625525,145.0,49.0
74,Social,972,900,690,291968.3,2432.0,268090.0,region_99,0.9259259259259259,0.7666666666666667,300.37890946502057,275.8127572016461,1.0890682233578275,146.0,109.0
139,Email,966,901,728,291719.55,2501.0,482930.0,region_39,0.932712215320911,0.8079911209766926,301.98711180124224,499.92753623188406,0.6040617687863665,147.0,196.0
6,Display,1004,915,727,291665.62,2478.0,446341.0,region_5,0.9113545816733067,0.7945355191256831,290.50360557768926,444.56274900398404,0.6534591713510522,148.0,188.0
76,Affiliate,989,888,677,291662.36,2363.0,55002.0,region_2,0.897876643073812,0.7623873873873874,294.9063296258847,55.613751263902934,5.302759172393731,149.0,24.0
34,Social,971,889,684,291569.92,2409.0,88587.0,region_35,0.9155509783728115,0.7694038245219348,300.27798146240985,91.23274974253347,3.2913398128393556,150.0,36.0
90,Search,995,914,705,291159.78,2518.0,182312.0,region_64,0.9185929648241206,0.7713347921225383,292.62289447236185,183.2281407035176,1.5970412260301023,151.0,78.0
173,Email,987,899,708,290971.76,2438.0,345832.0,region_35,0.9108409321175278,0.7875417130144605,294.8042147922999,350.387031408308,0.8413673691272063,152.0,142.0
117,Affiliate,968,881,694,290915.13,2413.0,380608.0,region_21,0.9101239669421488,0.7877412031782066,300.5321590909091,393.1900826446281,0.7643431824869682,153.0,160.0
186,Social,978,893,700,290532.09,2453.0,276776.0,region_73,0.9130879345603272,0.7838745800671892,297.06757668711657,283.0020449897751,1.0497011662860942,154.0,114.0
114,Email,1008,910,693,290393.85,2441.0,159849.0,region_0,0.9027777777777778,0.7615384615384615,288.08913690476186,158.58035714285714,1.8166760505226807,155.0,74.0
28,Display,980,907,697,289902.86,2448.0,440657.0,region_23,0.9255102040816326,0.7684674751929438,295.81924489795915,449.65,0.6578877902767912,156.0,187.0
120,Search,1007,918,729,289739.33,2458.0,222890.0,region_92,0.9116186693147964,0.7941176470588235,287.72525322740813,221.34061569016882,1.2999207232267038,157.0,91.0
69,Search,926,856,674,289561.04,2364.0,286532.0,region_13,0.9244060475161987,0.7873831775700935,312.7009071274298,309.4298056155508,1.010571384696997,158.0,119.0
132,Search,972,886,684,289539.13,2406.0,193868.0,region_25,0.911522633744856,0.7720090293453724,297.8797633744856,199.45267489711935,1.4934859285699549,159.0,84.0
158,Display,988,897,694,289210.57,2418.0,408342.0,region_38,0.9078947368421053,0.7736900780379041,292.7232489878543,413.30161943319837,0.7082557513065029,160.0,174.0
71,Display,1006,919,719,289181.48,2485.0,79836.0,region_37,0.9135188866799204,0.7823721436343852,287.45673956262425,79.35984095427435,3.622193997695275,161.0,34.0
39,Display,1011,927,714,288475.71,2505.0,148013.0,region_83,0.9169139465875371,0.7702265372168284,285.33700296735907,146.40257171117705,1.9489890077222949,162.0,67.0
13,Email,989,903,701,288272.09,2433.0,346107.0,region_58,0.9130434782608695,0.7763012181616833,291.4783518705764,349.95652173913044,0.8328987567428571,163.0,143.0
152,Email,996,910,693,287949.49,2413.0,255121.0,region_16,0.9136546184738956,0.7615384615384615,289.10591365461846,256.1455823293173,1.1286781174423117,164.0,106.0
93,Email,995,887,686,287669.42,2398.0,373714.0,region_16,0.8914572864321608,0.7733934611048479,289.1149949748744,375.591959798995,0.7697582108243202,165.0,158.0
77,Affiliate,974,905,684,287617.2,2392.0,257666.0,region_32,0.9291581108829569,0.7558011049723757,295.29486652977414,264.5441478439425,1.1162404042442542,166.0,107.0
166,Email,989,904,706,286914.8,2413.0,128033.0,region_41,0.9140546006066734,0.7809734513274337,290.10596562184026,129.45702730030334,2.2409441315910743,167.0,53.0
112,Social,977,897,707,286359.14,2436.0,376824.0,region_98,0.9181166837256909,0.7881828316610925,293.1004503582395,385.6949846468782,0.7599280831369553,168.0,162.0
47,Search,975,893,694,286321.25,2410.0,325557.0,region_61,0.9158974358974359,0.7771556550951848,293.66282051282053,333.9046153846154,0.8794811661245189,169.0,135.0
